site,group,type,Depth ,Area,Volume,Chla,TP,prec,T,iron,Lon,Lat
dongshanhu,L1,L,3,0.21,0.006,175.82,124,321.7,28.5,4.4,113.29,23.12
huizhouxihu,L1,L,1.5,1.68,0.03,23.53,66,45,19,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,26.28,60,159,26.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,25.33,53,166,28,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,23.1,55,22,21.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,23.53,58,45,19,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,26.04,51,159,26.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,25.8,58,166,28,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,22.27,49,22,21.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,24.64,66,45,19,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,28.82,57,159,26.5,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,27.27,59,166,28,4.4,114.4,23.09
huizhouxihu,L1,L,1.5,1.68,0.03,23.97,56,22,21.5,4.4,114.4,23.09
jiangmendonghu,L1,L,2.1,0.17,0.004,68.95,71,210.4,28.5,4.4,113.08,22.59
liuhuahu,L1,L,1.9,0.33,0.006,148.9,122,321.7,28.5,4.4,113.25,23.14
liwanhu,L1,L,1.6,0.14,0.002,87.65,50,321.7,28.5,4.4,113.23,23.12
luhu,L1,L,2.4,0.21,0.005,87.2,89,321.7,28.5,4.4,113.28,23.15
nanningnanhu,L1,L,1.5,0.93,0.014,12.42,115,2.1,20.3,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,24.84,131,114.3,22.2,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,11.29,177,149.6,25,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,9.03,162,150.6,27.8,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,15.24,169,241.2,28.3,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,15.24,308,125.1,28.8,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,20.89,154,42.8,27.9,4.4,108.36,22.81
nanningnanhu,L1,L,1.5,0.93,0.014,15.24,138,75.1,24,4.4,108.36,22.81
panlongtianhu,L1,L,2.2,0.15,0.003,252.22,158,170.3,29,4.4,112.05,22.94
shenzhenhonghu,L1,L,1.8,0.27,0.005,26.32,51,296.1,27.9,4.4,114.12,22.57
sihu,L1,L,2,0.39,0.008,1.09,83,52.3,29.2,4.4,110.29,25.29
sihu,L1,L,2,0.39,0.008,11.54,87,52.3,29.2,4.4,110.29,25.29
xinhu,L1,L,2.3,6.24,0.145,25.13,19,220,29,4.4,112.38,23.1
xinhu,L1,L,2.3,6.24,0.145,10.63,26,222,28.5,4.4,112.38,23.1
xinhu,L1,L,2.3,6.24,0.145,25,22,41,18.5,4.4,112.38,23.1
yixianhu,L1,L,1.8,0.1,0.002,166.97,86,288.6,28,4.4,113.37,22.53
